,DATA,DECISIONE,ANDAMENTO MERCATO,OPEN,MAX,MIN,CLOSE,VOLUME,CLOSE-OPEN
784,11/02/2016,BUY,-1,8885.0,8914.5,8690.5,8842.0,154772,-43.0
785,12/02/2016,HOLD,1,8831.0,8991.0,8806.5,8991.0,100855,160.0
786,15/02/2016,BUY,1,9108.0,9245.0,9105.5,9196.5,76327,88.5
787,16/02/2016,HOLD,-1,9262.0,9268.0,9072.0,9198.0,99623,-64.0
788,17/02/2016,HOLD,1,9161.0,9418.0,9130.0,9403.0,94310,242.0
789,18/02/2016,HOLD,1,9391.0,9548.5,9342.5,9443.0,101225,52.0
790,19/02/2016,HOLD,-1,9458.0,9474.0,9316.0,9379.5,95329,-78.5
791,22/02/2016,BUY,1,9435.0,9586.0,9434.0,9560.5,75412,125.5
792,23/02/2016,HOLD,-1,9495.0,9534.0,9394.0,9400.0,91194,-95.0
793,24/02/2016,HOLD,-1,9378.0,9425.0,9120.5,9306.0,130826,-72.0
794,25/02/2016,HOLD,1,9268.0,9398.0,9197.0,9393.0,109093,125.0
795,26/02/2016,SELL,1,9420.0,9575.5,9411.0,9478.5,108907,58.5
796,29/02/2016,BUY,-1,9434.5,9506.5,9326.0,9406.5,108197,-28.0
797,01/03/2016,HOLD,1,9432.0,9776.5,9425.0,9773.5,118012,341.5
798,02/03/2016,HOLD,-1,9811.0,9838.5,9692.0,9780.5,97733,-30.5
799,03/03/2016,HOLD,-1,9806.0,9818.0,9706.0,9785.0,78199,-21.0
800,04/03/2016,HOLD,1,9780.0,9900.0,9738.0,9802.0,101077,22.0
801,07/03/2016,HOLD,-1,9786.5,9809.5,9686.0,9783.0,84058,-3.5
802,08/03/2016,HOLD,-1,9713.0,9788.0,9613.0,9683.0,103139,-30.0
803,09/03/2016,HOLD,1,9713.0,9840.0,9678.0,9713.0,98081,0.0
804,10/03/2016,HOLD,-1,9730.0,9996.5,9394.5,9513.0,202529,-217.0
805,11/03/2016,SELL,1,9629.5,9895.0,9623.5,9895.0,124295,265.5
806,14/03/2016,HOLD,1,9878.0,10040.0,9868.5,9999.0,95717,121.0
807,15/03/2016,BUY,1,9954.0,9976.0,9889.0,9958.0,79257,4.0
808,16/03/2016,HOLD,1,9961.0,10023.5,9916.0,10001.0,99784,40.0
809,17/03/2016,HOLD,-1,10039.5,10069.5,9747.5,9877.0,121446,-162.5
810,18/03/2016,BUY,1,9905.0,9996.0,9855.0,9981.5,91723,76.5
811,21/03/2016,BUY,1,9952.0,10133.0,9893.0,9991.0,92777,39.0
812,22/03/2016,HOLD,1,9988.0,10037.5,9791.0,10031.0,115319,43.0
813,23/03/2016,HOLD,1,10016.0,10153.0,10000.5,10030.0,97235,14.0
814,24/03/2016,HOLD,-1,9999.0,10023.5,9876.5,9934.0,88249,-65.0
815,29/03/2016,HOLD,1,9945.0,9994.0,9845.5,9975.0,89436,30.0
816,30/03/2016,HOLD,1,9988.0,10139.0,9964.0,10072.0,86380,84.0
817,31/03/2016,HOLD,-1,10058.0,10070.5,9963.0,9972.5,88819,-85.5
818,01/04/2016,HOLD,-1,9915.0,9919.0,9712.5,9855.0,141443,-60.0
819,04/04/2016,HOLD,-1,9860.5,9946.0,9767.0,9800.5,114563,-60.0
820,05/04/2016,BUY,-1,9760.0,9760.0,9556.0,9563.0,117263,-197.0
821,06/04/2016,HOLD,1,9617.0,9700.5,9537.5,9700.5,112234,83.5
822,07/04/2016,HOLD,-1,9679.0,9736.0,9472.5,9512.0,115146,-167.0
823,08/04/2016,BUY,1,9579.5,9707.5,9570.0,9645.5,95283,66.0
824,11/04/2016,HOLD,1,9649.5,9784.5,9551.5,9681.5,113936,32.0
825,12/04/2016,BUY,1,9706.0,9829.5,9645.0,9823.5,114235,117.5
