DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
01/07/2016,9718.5,9795,9645.5,9732,87246,1
04/07/2016,9760,9801,9687,9716,41133,-1
05/07/2016,9692.5,9692.5,9453.5,9483,91710,-1
06/07/2016,9438,9522,9290,9414,120151,-1
07/07/2016,9425,9497,9351.5,9393.5,84071,-1
08/07/2016,9382.5,9644.5,9356.5,9622,86846,1
11/07/2016,9712,9834,9675.5,9770,92872,1
12/07/2016,9798.5,10005,9786,9942.5,84937,1
13/07/2016,9929.5,9992.5,9887.5,9915,64176,-1
14/07/2016,9940,10101.5,9939,10045,88964,1
15/07/2016,10025,10092,9964,10062,69487,1
18/07/2016,10085,10154.5,10000.5,10044,72122,-1
19/07/2016,10020,10043.5,9910.5,9977,78663,-1
20/07/2016,9992,10139,9978.5,10119,72632,1
21/07/2016,10130,10189,10078.5,10116,80675,-1
22/07/2016,10107,10174,10059.5,10157.5,70483,1
25/07/2016,10117.5,10257,10107,10182,74751,1
26/07/2016,10210.5,10271,10138.5,10253,73733,1
27/07/2016,10282,10346,10274.5,10282.5,72405,1
28/07/2016,10305.5,10381,10259,10347,82821,1
29/07/2016,10340,10354,10279,10330.5,70373,-1
01/08/2016,10434,10472,10271,10287,77316,-1
02/08/2016,10300,10336,10111,10143.5,88857,-1
03/08/2016,10129,10216.5,10088,10206,79617,1
04/08/2016,10233.5,10279.5,10175.5,10234,81554,1
05/08/2016,10250,10374.5,10209,10374.5,72980,1
08/08/2016,10427.5,10479,10396.5,10425,60278,-1
09/08/2016,10406,10700.5,10406,10673,91943,1
10/08/2016,10696.5,10714,10630.5,10648,69005,-1
11/08/2016,10676,10744,10629,10725.5,84117,1
12/08/2016,10723,10734.5,10680,10699.5,58096,-1
15/08/2016,10721,10804,10710.5,10726,52133,1
16/08/2016,10710,10738.5,10630.5,10658.5,77015,-1
17/08/2016,10660,10703,10512,10614,88428,-1
18/08/2016,10614,10626.5,10546.5,10590,56420,-1
19/08/2016,10631,10632.5,10487.5,10569,80419,-1
22/08/2016,10528,10657,10386,10510,92477,-1
23/08/2016,10519.5,10625,10509.5,10583,67283,1
24/08/2016,10555,10653.5,10513.5,10587,76563,1
25/08/2016,10619,10619,10466,10510,82317,-1
26/08/2016,10507,10616,10452.5,10520,88075,1
29/08/2016,10519,10572.5,10436,10572.5,64123,1
30/08/2016,10569.5,10690,10568.5,10656.5,74863,1
31/08/2016,10645,10665.5,10551,10586.5,79283,-1
01/09/2016,10612.5,10678,10488.5,10562.5,98070,-1
02/09/2016,10561.5,10727,10512.5,10716,97265,1
05/09/2016,10750,10754.5,10670,10684.5,48671,-1
06/09/2016,10692,10741.5,10653.5,10707,77277,1
07/09/2016,10717.5,10777.5,10657,10742.5,83441,1
08/09/2016,10751,10780.5,10566,10661,107951,-1
09/09/2016,10664.5,10671.5,10466,10466,104636,-1
12/09/2016,10390,10547,10320,10547,137463,1
13/09/2016,10525,10526,10351,10417,114476,-1
14/09/2016,10435,10453,10347.5,10364.5,92057,-1
15/09/2016,10345,10476,10335,10447,93384,1
16/09/2016,10402,10419,10236,10283,120872,-1
19/09/2016,10336,10377,10314,10338.5,72114,1
20/09/2016,10341,10459,10341,10386.5,81718,1
21/09/2016,10436.5,10527.5,10394,10503,100310,1
22/09/2016,10500,10698,10482,10673,115123,1
23/09/2016,10672,10672,10595,10604,72403,-1
26/09/2016,10550,10570,10369,10379,98958,-1
27/09/2016,10439.5,10456,10252.5,10391.5,107123,-1
28/09/2016,10367,10514,10361.5,10500,108676,1
29/09/2016,10529,10568,10246.5,10288,124388,-1
30/09/2016,10240,10543.5,10173.5,10527,134391,1
04/10/2016,10500,10637.5,10478,10547,122680,1
05/10/2016,10590,10614.5,10471.5,10590.5,79010,1
06/10/2016,10590,10637,10524.5,10595.5,86138,1
07/10/2016,10560.5,10573,10442,10469,126489,-1
10/10/2016,10496,10646,10442.5,10606.5,91313,1
11/10/2016,10587,10684.5,10536.5,10561,97887,-1
12/10/2016,10575,10595,10492.5,10535,89847,-1
13/10/2016,10453,10466,10337,10447,116377,-1
14/10/2016,10460,10610,10432.5,10580,99774,1
17/10/2016,10521.5,10576.5,10479,10503,85115,-1
18/10/2016,10550.5,10652,10531.5,10621,78619,1
19/10/2016,10615.5,10668.5,10581,10647,64364,1
20/10/2016,10676.5,10744.5,10585,10709,86660,1
21/10/2016,10695,10732.5,10664.5,10717.5,62466,1
24/10/2016,10699,10818,10698.5,10760,65137,1
25/10/2016,10789,10826,10735.5,10768,69919,-1
26/10/2016,10770,10770,10625,10694,93101,-1
27/10/2016,10642,10771,10641,10696,100655,1
28/10/2016,10680,10712.5,10571.5,10654,117449,-1
31/10/2016,10680,10689,10627.5,10681,74241,1
01/11/2016,10720,10739,10451,10490,121059,-1
02/11/2016,10439,10465.5,10323,10373,111289,-1
03/11/2016,10379.5,10404,10290.5,10294,95915,-1
04/11/2016,10315,10320,10196.5,10217.5,107110,-1
07/11/2016,10439,10469.5,10375.5,10469.5,93514,1
08/11/2016,10440,10550,10407.5,10541.5,81347,1
09/11/2016,10025,10678.5,10013,10659.5,198190,1
10/11/2016,10686,10794.5,10570,10669,162842,-1
11/11/2016,10672,10709.5,10581.5,10690.5,109679,1
14/11/2016,10765,10798,10664.5,10699.5,111561,-1
15/11/2016,10704,10757,10660.5,10757,81120,1
16/11/2016,10778,10782,10606,10658.5,97455,-1
17/11/2016,10677,10733,10597.5,10733,81861,1
18/11/2016,10732,10747.5,10644.5,10663.5,87418,-1
21/11/2016,10688,10727,10587.5,10708,83765,1
22/11/2016,10768.5,10781.5,10698,10743.5,76018,-1
23/11/2016,10743.5,10745.5,10599.5,10680,98976,-1
24/11/2016,10677,10717,10648.5,10696,47938,1
25/11/2016,10705,10714.5,10646,10697,48782,-1
28/11/2016,10679,10689.5,10550.5,10551,103725,-1
29/11/2016,10568,10645,10536,10625,88183,1
30/11/2016,10625,10693,10602,10610,87088,-1
01/12/2016,10610,10626,10477.5,10482,125861,-1
02/12/2016,10471,10545,10400,10528.5,105241,1
05/12/2016,10444,10741.5,10420,10711.5,135120,1
06/12/2016,10706,10840,10664,10831,100259,1
07/12/2016,10864,11086,10844.5,11048,107452,1
