0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
31,0.515712682,21562.5,80262.5,3.722318841,400,200,2,10,6,1000,DEVIANCE
32,0.507772021,27325,101150,3.701738335,500,200,7,15,6,50,DEVIANCE
33,0.51324122,22700,81600,3.594713656,500,200,7,10,3,100,DEVIANCE
34,0.518886132,24725,86837.5,3.512133468,400,100,7,15,6,100,DEVIANCE
35,0.505181347,26850,91325,3.401303538,500,200,7,15,3,1000,DEVIANCE
36,0.51827957,33525,113350,3.381058911,300,100,7,10,6,500,DEVIANCE
37,0.517676768,23625,79237.5,3.353968254,400,200,2,15,6,500,DEVIANCE
38,0.51827957,33525,112425,3.353467562,300,100,7,10,6,1000,DEVIANCE
39,0.504605642,23100,77275,3.345238095,500,200,7,10,3,500,DEVIANCE
40,0.510483871,24550,81550,3.321792261,300,100,7,15,6,1000,DEVIANCE
41,0.519225525,21887.5,72525,3.313535123,300,200,7,15,6,100,DEVIANCE
42,0.518548387,36625,120875,3.300341297,300,100,7,10,3,500,DEVIANCE
43,0.515026192,23062.5,73462.5,3.185365854,400,100,7,10,6,1000,DEVIANCE
44,0.516694963,27150,85750,3.158379374,500,100,7,10,6,1000,DEVIANCE
45,0.522959184,26700,83375,3.122659176,400,200,4,15,6,100,DEVIANCE
46,0.519360269,24825,76762.5,3.092145015,400,200,2,10,3,1000,DEVIANCE
47,0.514714205,21612.5,66150,3.060728745,500,100,7,15,6,500,DEVIANCE
48,0.519670388,23862.5,72887.5,3.054478785,300,200,2,10,6,1000,DEVIANCE
49,0.517862013,34012.5,96900,2.848952591,300,200,7,10,3,1000,DEVIANCE
50,0.52086174,30862.5,85750,2.778452815,300,200,7,15,6,50,DEVIANCE
51,0.516156463,23612.5,63850,2.704076231,400,200,4,15,6,500,DEVIANCE
52,0.508497807,24612.5,65525,2.662265109,400,100,4,10,3,500,DEVIANCE
53,0.502302821,28775,75775,2.633362294,500,200,7,15,3,500,DEVIANCE
54,0.526745495,24037.5,62087.5,2.582943318,500,100,4,10,3,50,DEVIANCE
55,0.499424295,23525,60500,2.5717322,500,200,7,10,6,100,DEVIANCE
56,0.516694963,29925,76175,2.545530493,500,100,7,10,6,50,DEVIANCE
57,0.514455782,24687.5,62400,2.527594937,400,200,4,15,3,1000,DEVIANCE
58,0.511784512,24300,61262.5,2.521090535,500,200,2,15,6,500,DEVIANCE
